Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh),Month,Total Energy Generation (TWh)
Canada,2001,7382.03,40675.95,27.69,63.11,30.64,26.57,1534.16,0.4,Jan,6785.61
Canada,2001,9545.97,2908.46,12.17,32.19,26.35,37.16,428.82,0.23,Jul,8808.88
Canada,2001,3976.86,5128.9,75.68,34.42,47.57,26.13,488.55,0.27,Jun,3661.99
Canada,2001,9784.41,12033.74,12.52,42.21,58.72,36.34,3288.76,0.16,Mar,9746.56
Canada,2001,3723.55,49123.77,30.06,61.83,43.79,34.71,1129.91,0.43,May,3452.78
Canada,2001,9253.55,48576.47,38.19,79.85,45.25,22.99,2533.01,0.46,Oct,8807.99
Canada,2001,5511.28,36394.4,67.66,19.65,42.64,10.47,3266.67,0.4,Sep,5701.52
Canada,2002,6335.85,28366.98,22.37,30.95,36.13,32.86,954.78,0.36,Apr,6152.71
Canada,2002,8116.56,26703.62,84.23,71.7,20.35,24.57,4693.63,0.35,Aug,8117.64
Canada,2002,4338.68,42685.62,76.94,50.15,28.28,32.97,72.66,0.19,Dec,4016.96
Canada,2002,3285.19,25308.55,75.47,28.84,50.26,33.78,935.61,0.06,Feb,3051.43
Canada,2002,321.21,38090.06,83.85,25.43,33.0,25.31,2495.01,0.47,Jan,291.06
Canada,2002,6114.07,12838.47,59.2,69.82,32.97,12.45,4036.26,0.34,Jul,5657.6
Canada,2002,2823.26,24957.26,60.86,47.17,21.98,23.29,328.81,0.4,Jun,2658.91
Canada,2002,5460.2,41975.89,53.56,25.55,25.78,31.56,2419.44,0.27,Mar,5059.16
Canada,2002,1089.38,14889.64,35.35,45.63,24.9,22.8,2416.87,0.28,May,994.94
Canada,2002,9863.87,48493.98,76.97,58.14,23.34,13.49,3488.7,0.39,Nov,9055.97
Canada,2002,6576.27,1521.02,6.82,47.79,26.07,27.45,3156.26,0.48,Oct,6373.17
Canada,2002,1952.37,27677.86,72.61,35.91,31.35,32.46,3853.09,0.24,Sep,1817.56
Canada,2003,2215.76,16306.18,87.98,17.63,22.59,16.03,2297.38,0.06,Apr,2115.25
Canada,2003,3060.89,33969.41,55.2,23.57,52.46,10.54,3644.33,0.23,Aug,2985.94
Canada,2003,7464.24,4777.25,37.09,25.58,23.92,14.99,4999.1,0.48,Dec,7490.81
Canada,2003,5266.15,42574.23,25.45,36.86,27.22,39.04,1236.56,0.06,Feb,4770.59
Canada,2003,3357.72,18538.03,55.13,35.92,52.53,14.88,2273.03,0.2,Jan,3424.58
Canada,2003,7312.8,21583.33,7.53,22.45,51.61,31.59,2388.59,0.38,Jul,7270.28
Canada,2003,8843.21,45808.91,74.76,74.81,42.97,24.97,1531.41,0.24,Mar,8067.34
Canada,2003,3745.78,18792.84,37.57,43.27,24.44,33.84,3105.72,0.46,Nov,3862.04
Canada,2003,853.28,8373.66,63.51,35.06,33.91,17.83,889.23,0.22,Oct,885.82
Canada,2003,3467.69,25095.99,20.17,20.33,32.38,11.99,3599.54,0.28,Sep,3152.69
Canada,2004,9031.33,8685.79,7.83,65.37,55.47,35.71,399.02,0.27,Apr,8503.28
Canada,2004,2637.78,44669.2,80.04,11.07,33.04,18.0,261.74,0.27,Aug,2692.99
Canada,2004,7488.03,850.78,45.52,15.4,53.86,15.01,4317.81,0.33,Dec,7579.68
Canada,2004,6056.53,18199.41,78.57,34.51,48.85,38.03,2132.29,0.05,Feb,5618.51
Canada,2004,6442.84,46604.5,50.84,32.05,40.22,31.41,392.48,0.28,Jan,6000.88
Canada,2004,3389.47,17110.09,15.88,25.64,39.46,30.32,3595.07,0.2,Jul,3238.88
Canada,2004,4405.87,7703.71,58.63,53.97,43.37,31.81,284.27,0.39,Jun,4285.49
Canada,2004,9934.56,41109.47,20.29,41.24,55.69,18.03,2215.56,0.38,Mar,9862.42
Canada,2004,9424.03,28302.81,87.93,50.0,39.55,18.27,1634.98,0.06,May,9003.12
Canada,2004,7059.98,33099.53,56.06,49.42,26.17,34.14,4849.01,0.44,Nov,6843.8
Canada,2004,9031.98,44688.96,31.66,34.32,55.72,25.99,4865.84,0.41,Oct,9141.45
Canada,2004,111.34,44966.78,67.59,79.09,29.84,20.09,4956.24,0.07,Sep,100.82
Canada,2005,8645.55,34272.98,13.7,24.57,50.9,39.23,2657.69,0.25,Apr,8108.36
Canada,2005,497.15,26715.44,28.21,41.26,23.25,11.55,2436.59,0.06,Aug,500.63
Canada,2005,6762.35,34064.94,54.3,56.78,30.33,13.95,2072.83,0.19,Dec,6994.17
Canada,2005,8414.59,22994.53,18.41,49.79,57.43,21.88,4255.89,0.38,Feb,8218.96
Canada,2005,9824.37,12136.13,54.6,48.14,53.3,30.1,1719.48,0.31,Jan,9626.08
Canada,2005,3701.48,44025.4,51.89,57.58,39.96,39.94,4179.05,0.29,Jun,3390.84
Canada,2005,6861.32,32045.64,87.24,30.08,45.99,27.07,4796.07,0.05,Mar,6635.66
Canada,2005,9945.6,39282.27,5.58,58.53,39.21,34.75,3232.46,0.44,May,9745.62
Canada,2005,2533.46,7921.57,47.73,72.9,51.04,29.98,382.6,0.44,Nov,2372.26
Canada,2005,8076.78,20582.67,28.46,21.59,31.85,17.8,3601.58,0.13,Oct,7595.29
Canada,2005,2176.42,13281.05,18.2,78.76,23.14,26.52,2251.46,0.49,Sep,2081.95
Canada,2006,7968.82,9539.26,60.03,20.47,35.3,23.24,2945.79,0.06,Apr,7195.93
Canada,2006,8576.82,33653.9,59.33,62.3,34.29,27.78,1187.24,0.38,Dec,8133.5
Canada,2006,9430.33,34835.65,66.48,49.94,23.72,12.49,3758.52,0.47,Feb,8786.4
Canada,2006,6549.61,25972.64,7.63,74.21,48.29,20.83,3751.62,0.17,Jan,6216.4
Canada,2006,5877.76,35298.82,19.8,35.03,58.88,20.13,469.63,0.36,Jul,5395.57
Canada,2006,5274.17,19055.65,61.6,23.3,58.31,21.5,3867.7,0.45,Jun,5451.27
Canada,2006,6875.88,36135.03,54.63,51.8,27.84,36.12,359.39,0.06,Mar,6800.51
Canada,2006,848.88,32190.85,73.6,74.86,42.39,23.43,842.39,0.48,May,850.46
Canada,2006,9473.22,34056.44,24.17,28.58,37.48,28.35,3362.11,0.1,Nov,9647.3
Canada,2006,424.07,1483.84,29.21,53.99,32.49,31.78,3103.87,0.25,Oct,413.37
Canada,2006,1368.73,21187.92,38.75,75.56,38.83,33.89,786.86,0.41,Sep,1249.7
Canada,2007,5842.43,10381.72,5.73,79.35,34.83,22.25,2457.31,0.5,Apr,5728.89
Canada,2007,9605.87,34687.99,57.37,14.43,37.26,33.28,718.41,0.35,Aug,9490.85
Canada,2007,7175.75,30999.21,17.42,73.18,32.96,10.77,1876.71,0.19,Dec,7260.54
Canada,2007,8445.43,41960.47,64.98,50.94,32.69,36.06,4454.98,0.26,Feb,8147.72
Canada,2007,7135.61,6454.29,5.59,24.0,56.48,26.85,464.1,0.12,Jan,6558.6
Canada,2007,641.92,7825.68,68.11,74.38,53.24,19.33,4236.47,0.46,Jul,605.05
Canada,2007,5409.86,17774.89,5.72,16.83,53.12,10.58,3291.56,0.45,Jun,5163.51
Canada,2007,5969.23,23085.87,66.3,22.38,48.13,11.16,4764.37,0.3,Mar,5950.65
Canada,2007,5806.95,42293.7,35.45,25.94,33.33,13.73,1841.83,0.21,May,5723.43
Canada,2007,2601.81,49871.43,45.95,19.87,20.79,28.72,2896.48,0.35,Nov,2480.6
Canada,2007,9736.45,40797.8,8.58,33.74,41.34,29.08,2114.35,0.43,Oct,10203.58
Canada,2007,1778.62,37187.06,34.52,32.27,41.13,32.68,4333.19,0.17,Sep,1762.37
Canada,2008,4109.47,19731.26,14.23,66.34,51.04,30.06,1577.65,0.08,Apr,3844.75
Canada,2008,7719.04,35819.59,15.03,62.73,57.93,21.51,3808.66,0.05,Aug,7064.99
Canada,2008,5288.7,43288.08,54.3,76.38,38.7,24.61,1202.36,0.22,Dec,4881.09
Canada,2008,2124.07,33369.07,66.68,45.57,54.78,14.53,1718.89,0.12,Feb,1990.03
Canada,2008,295.23,10698.35,68.52,63.46,46.86,11.33,4308.54,0.17,Jan,272.82
Canada,2008,3253.77,41744.06,47.7,61.75,46.17,21.67,3015.2,0.47,Jul,3019.45
Canada,2008,9979.06,20698.13,57.03,70.42,26.42,19.13,1780.94,0.27,Jun,9407.9
Canada,2008,6008.2,12065.97,76.57,14.93,54.82,23.0,1893.96,0.06,Mar,5563.63
Canada,2008,1363.15,28156.29,58.6,49.76,44.09,20.0,3469.99,0.3,May,1410.2
Canada,2008,6124.27,42256.43,81.99,45.79,41.27,36.86,4585.06,0.14,Nov,5585.55
Canada,2008,3688.35,1162.12,76.92,77.72,42.59,13.62,2236.51,0.17,Oct,3609.7
Canada,2008,3293.34,13254.27,7.56,43.26,25.98,11.42,3308.3,0.06,Sep,3166.74
Canada,2009,5409.67,32866.93,30.52,11.39,46.01,26.49,1755.06,0.09,Apr,5665.85
Canada,2009,5524.88,39459.28,30.15,56.07,40.41,27.7,3705.73,0.19,Aug,5065.24
Canada,2009,1351.62,38628.82,89.3,69.59,49.37,34.8,3431.09,0.34,Dec,1297.12
Canada,2009,7940.99,45614.66,57.93,38.31,40.11,32.56,4407.21,0.38,Feb,8301.67
Canada,2009,6264.66,18170.2,36.3,15.41,48.13,24.06,2814.76,0.38,Jan,6451.51
Canada,2009,2650.03,46456.83,48.48,30.86,59.03,23.11,4120.09,0.15,Jul,2709.82
Canada,2009,7635.99,7132.55,87.36,38.88,24.0,13.72,1493.78,0.22,Jun,7167.79
Canada,2009,1884.31,21616.25,54.24,42.04,58.68,20.02,1556.25,0.36,Mar,1744.18
Canada,2009,674.18,6460.34,43.62,20.01,58.94,10.87,1671.29,0.28,May,674.38
Canada,2009,3786.43,27987.92,7.29,66.97,37.97,33.8,566.22,0.31,Nov,3935.64
Canada,2009,9331.04,9292.99,12.4,39.98,33.79,15.78,3921.15,0.42,Oct,9177.21
Canada,2009,4995.7,8417.0,27.15,66.65,23.83,31.32,3970.51,0.45,Sep,4924.47
Canada,2010,6423.36,43694.59,65.11,77.71,43.43,18.72,3630.21,0.17,Apr,6050.78
Canada,2010,8149.56,40859.8,30.58,39.79,33.77,19.01,3151.48,0.44,Aug,8275.26
Canada,2010,6453.2,30126.05,17.38,14.74,45.94,31.64,277.38,0.36,Dec,5988.93
Canada,2010,5951.51,2249.38,15.16,48.45,37.29,28.19,3595.72,0.33,Feb,5645.32
Canada,2010,3286.61,35989.06,43.13,29.12,57.53,27.69,69.05,0.39,Jan,3167.69
Canada,2010,1753.04,1547.69,16.02,13.77,59.19,23.22,4441.43,0.41,Mar,1711.22
Canada,2010,8331.39,3484.73,31.85,69.61,49.8,33.63,3650.6,0.46,May,7801.19
Canada,2010,8589.78,38012.29,65.35,53.34,44.15,26.89,1314.09,0.42,Nov,7878.77
Canada,2010,3634.12,8707.32,27.25,27.96,50.78,37.03,3656.02,0.12,Oct,3603.57
Canada,2010,5370.28,20187.73,72.53,37.79,39.95,32.94,3556.83,0.24,Sep,5065.76
Canada,2011,8428.02,2576.75,52.73,41.18,27.05,24.2,4301.86,0.38,Apr,8320.02
Canada,2011,8567.94,39147.76,63.69,46.3,43.06,38.01,1996.32,0.23,Aug,7909.53
Canada,2011,8956.12,33541.21,80.82,29.33,51.59,22.19,3426.76,0.38,Dec,8706.88
Canada,2011,6915.25,21330.84,11.59,49.93,28.47,22.54,2633.25,0.44,Feb,6776.17
Canada,2011,2319.68,23438.13,73.78,48.75,54.53,24.01,3066.55,0.31,Jan,2105.74
Canada,2011,871.15,15019.51,26.81,11.56,50.79,34.2,4066.68,0.4,Jul,828.02
Canada,2011,7048.55,4571.06,62.01,39.29,51.21,15.3,2721.5,0.18,Jun,6485.81
Canada,2011,4705.22,10459.47,47.98,27.67,46.16,33.39,1410.17,0.49,Mar,4279.43
Canada,2011,5027.5,21020.2,46.54,27.34,40.86,30.16,284.8,0.19,May,5271.3
Canada,2011,2695.42,25503.06,30.81,45.63,30.82,26.07,2818.83,0.13,Nov,2556.21
Canada,2011,9827.62,26411.18,79.23,71.91,37.4,27.49,761.51,0.15,Oct,10038.73
Canada,2011,3904.96,4937.24,80.44,59.34,35.57,22.57,1515.27,0.26,Sep,3663.62
Canada,2012,6739.0,24144.35,16.92,49.67,59.91,26.01,2579.57,0.44,Apr,6754.0
Canada,2012,194.66,5431.28,76.13,10.02,43.21,25.95,2421.24,0.36,Aug,197.39
Canada,2012,7097.76,11360.38,60.73,54.19,27.32,33.83,2194.23,0.22,Jan,7022.14
Canada,2012,5513.34,7498.07,21.35,16.65,52.95,27.51,71.57,0.07,Jun,5352.0
Canada,2012,8111.53,47022.87,37.5,49.48,51.05,25.23,2248.87,0.48,Mar,7801.48
Canada,2012,266.94,4011.09,29.76,25.45,26.1,21.97,2056.92,0.39,May,254.22
Canada,2012,4886.72,5768.47,70.33,44.26,50.03,18.02,1808.29,0.35,Nov,5079.4
Canada,2012,9046.88,18977.29,35.29,35.26,42.28,36.07,3486.73,0.06,Oct,9269.37
Canada,2012,9366.14,25343.7,79.85,12.13,48.75,15.35,954.81,0.46,Sep,9785.31
Canada,2013,5451.89,10058.98,27.04,27.98,43.83,36.42,1253.28,0.41,Apr,5008.35
Canada,2013,6033.07,33189.62,75.9,11.38,22.23,21.52,3931.82,0.31,Aug,6091.17
Canada,2013,2277.8,39948.81,45.7,75.5,31.76,34.78,2645.19,0.2,Dec,2370.62
Canada,2013,1746.99,6268.93,23.43,25.97,55.76,21.62,1586.92,0.22,Feb,1619.78
Canada,2013,5163.93,1629.63,35.11,75.06,53.87,12.26,2595.77,0.15,Jan,4699.04
Canada,2013,847.23,7005.07,62.5,41.02,46.66,16.17,2379.61,0.21,Jul,856.69
Canada,2013,3526.67,25913.63,71.05,30.44,57.41,21.96,1836.09,0.24,Jun,3477.9
Canada,2013,1779.28,48797.67,20.55,29.44,21.76,33.23,700.22,0.43,Mar,1826.03
Canada,2013,4216.31,31964.19,27.03,68.52,36.24,17.09,4542.95,0.44,May,3883.08
Canada,2013,8605.9,30827.42,73.39,26.2,55.21,35.55,4480.15,0.35,Nov,8771.91
Canada,2013,8828.31,35750.56,9.82,19.89,45.31,34.06,4688.5,0.3,Oct,8212.48
Canada,2013,9658.04,25642.7,19.39,77.8,20.06,38.5,4848.58,0.15,Sep,8929.33
Canada,2014,6837.49,46534.71,77.49,60.33,40.11,10.41,2181.11,0.11,Apr,6322.22
Canada,2014,5125.83,35920.79,62.28,33.07,37.92,12.71,3841.4,0.43,Dec,5239.55
Canada,2014,4202.05,5510.08,10.55,18.66,47.44,28.38,1829.71,0.48,Feb,4201.12
Canada,2014,1222.64,34692.45,53.34,33.15,46.33,23.56,1420.51,0.23,Jan,1196.3
Canada,2014,2509.19,17425.55,47.78,43.06,51.75,13.95,622.42,0.05,Jul,2393.33
Canada,2014,2472.56,21726.99,56.46,60.8,45.62,19.37,2665.59,0.19,Jun,2550.64
Canada,2014,4397.36,29185.62,24.58,71.75,32.65,27.45,4014.48,0.48,Mar,4216.48
Canada,2014,4542.53,44243.15,46.07,66.3,35.53,14.25,4693.96,0.38,May,4644.69
Canada,2014,2841.02,1168.11,48.53,62.75,23.76,16.34,2856.51,0.23,Nov,2744.06
Canada,2014,2408.16,13356.9,6.38,60.89,37.02,12.71,283.52,0.1,Oct,2303.51
Canada,2014,9731.96,6045.39,86.03,73.63,46.78,10.6,95.8,0.38,Sep,9434.18
Canada,2015,5361.53,26365.49,8.52,78.27,27.28,34.45,4187.04,0.14,Apr,5067.75
Canada,2015,4803.96,34928.8,16.29,53.63,45.25,33.16,2455.33,0.23,Aug,4862.29
Canada,2015,418.74,24064.11,37.56,66.14,56.92,28.57,2266.54,0.1,Dec,408.44
Canada,2015,3660.4,19932.25,80.28,31.92,23.4,31.79,528.94,0.32,Feb,3421.86
Canada,2015,4561.17,27774.52,28.15,24.78,24.03,16.05,786.8,0.45,Jan,4720.52
Canada,2015,1630.26,18970.85,7.08,18.47,22.05,19.1,932.31,0.12,Jul,1561.11
Canada,2015,1005.02,7088.36,54.62,22.61,36.44,22.82,1407.34,0.43,Jun,986.46
Canada,2015,6736.17,19788.58,82.88,30.68,43.16,20.07,3978.58,0.23,Mar,6978.48
Canada,2015,5302.34,47989.98,69.76,78.83,36.07,37.41,2785.89,0.2,May,5268.59
Canada,2015,5090.34,13938.48,24.49,30.24,27.68,30.35,880.75,0.13,Nov,4670.56
Canada,2015,6609.19,5896.65,73.03,64.55,53.86,14.33,2623.24,0.16,Oct,6880.0
Canada,2015,4256.4,38666.69,55.03,40.54,45.04,31.75,2533.88,0.37,Sep,4231.53
Canada,2016,4963.55,10800.22,73.78,18.35,59.61,24.72,2784.2,0.36,Apr,4716.54
Canada,2016,1988.84,29876.33,32.53,64.73,21.17,16.45,831.64,0.23,Aug,1831.5
Canada,2016,8603.23,27142.85,79.62,35.16,28.16,18.81,1636.49,0.33,Dec,8767.58
Canada,2016,6390.46,39498.21,81.4,62.03,47.14,23.44,4354.55,0.37,Feb,6345.8
Canada,2016,6555.45,24389.05,81.75,59.03,53.36,34.49,3473.49,0.13,Jan,6424.47
Canada,2016,4288.87,41747.05,54.75,70.21,30.35,34.28,4334.71,0.33,Jul,4435.05
Canada,2016,4786.21,12492.92,79.81,75.83,22.64,32.19,1594.34,0.46,Jun,4873.75
Canada,2016,7990.23,18327.71,57.16,25.22,34.78,25.01,979.65,0.39,Mar,7372.99
Canada,2016,5158.87,40648.45,11.23,63.34,53.0,29.37,434.35,0.38,May,4884.2
Canada,2016,5134.92,21543.29,73.98,13.58,59.25,27.03,4150.4,0.48,Nov,4812.82
Canada,2016,5338.98,34171.98,68.09,75.98,35.7,12.89,1768.72,0.32,Oct,5400.87
Canada,2016,5516.44,1645.74,81.42,25.02,32.46,22.66,4539.83,0.28,Sep,4992.54
Canada,2017,9021.2,10301.04,82.23,25.18,23.32,29.46,3190.81,0.47,Apr,8890.24
Canada,2017,9400.37,4315.56,13.03,30.84,53.06,12.44,3763.52,0.12,Aug,9535.44
Canada,2017,1889.62,2723.54,28.28,30.47,25.99,10.95,1583.04,0.08,Dec,1949.17
Canada,2017,7977.7,22436.04,11.96,63.08,36.42,16.38,1616.51,0.1,Feb,7589.28
Canada,2017,8280.96,7786.41,20.67,39.72,27.54,20.99,603.42,0.25,Jan,8472.98
Canada,2017,9324.71,40504.33,57.17,32.47,52.9,28.5,3489.75,0.46,Jul,8546.98
Canada,2017,3307.0,7754.82,83.41,36.1,39.81,38.6,2286.6,0.28,Jun,3396.18
Canada,2017,551.17,49685.52,5.39,56.68,27.45,14.2,1116.93,0.31,Mar,506.59
Canada,2017,7483.4,27610.36,84.48,40.3,45.85,39.81,1753.54,0.12,May,7181.02
Canada,2017,1136.43,44819.92,78.49,52.59,28.09,38.48,2074.4,0.39,Nov,1158.7
Canada,2017,7959.99,32287.12,82.32,39.6,59.85,37.94,4141.09,0.39,Sep,7342.99
Canada,2018,2918.09,45796.38,84.9,14.7,56.96,33.0,4252.63,0.36,Apr,2726.63
Canada,2018,2984.88,22278.04,79.75,66.69,30.33,34.26,3125.1,0.14,Aug,3009.77
Canada,2018,7883.56,44065.45,53.0,53.6,29.49,22.03,4134.96,0.22,Dec,7946.67
Canada,2018,1694.99,41432.56,79.27,62.48,49.85,35.06,1959.61,0.49,Feb,1688.5
Canada,2018,9525.38,42301.43,13.7,70.47,45.18,19.96,3766.11,0.12,Jan,9564.36
Canada,2018,7271.13,25229.54,13.43,43.34,59.6,15.44,1465.29,0.13,Jul,7135.95
Canada,2018,6866.18,5761.6,52.48,71.77,30.16,32.6,2642.28,0.39,Jun,6438.9
Canada,2018,3313.71,2041.85,44.66,59.69,53.09,26.74,2548.52,0.37,Mar,3154.17
Canada,2018,3418.95,18004.09,24.01,53.35,44.69,17.87,2904.34,0.4,May,3170.19
Canada,2018,2965.75,8097.68,50.38,64.97,44.31,25.89,2112.35,0.34,Nov,3073.31
Canada,2018,361.9,14141.33,42.97,12.74,51.65,36.6,4303.23,0.29,Oct,357.38
Canada,2018,6521.51,25168.58,52.3,70.28,30.04,31.7,763.48,0.22,Sep,6261.48
Canada,2019,5993.66,39111.29,77.91,42.62,45.2,14.57,4124.45,0.33,Apr,5809.66
Canada,2019,3649.47,41303.19,10.22,33.35,36.23,12.19,3078.37,0.44,Aug,3803.09
Canada,2019,326.92,30158.66,85.72,14.25,50.08,22.78,3235.87,0.06,Dec,301.75
Canada,2019,638.43,13567.68,57.06,16.5,33.74,29.13,1436.39,0.34,Feb,630.73
Canada,2019,2819.98,14531.68,13.35,25.53,29.46,26.06,3131.43,0.11,Jan,2751.97
Canada,2019,407.97,4174.24,69.95,69.32,50.58,12.16,2512.34,0.4,Jun,404.59
Canada,2019,4122.64,36519.82,24.49,27.69,28.73,11.31,940.86,0.38,Mar,3721.58
Canada,2019,3833.12,47798.77,55.27,32.88,24.75,26.26,3776.99,0.12,May,3951.25
Canada,2019,4494.59,12090.79,74.04,63.18,30.37,39.73,894.86,0.3,Nov,4673.55
Canada,2019,6970.8,5108.91,83.13,35.8,46.45,10.43,1244.17,0.35,Oct,6864.63
Canada,2019,7388.75,17298.21,42.48,26.17,26.24,22.14,2358.93,0.42,Sep,7421.98
Canada,2020,1004.14,3089.19,70.91,60.38,28.57,13.08,1358.37,0.41,Apr,1042.67
Canada,2020,2072.49,36269.73,38.51,45.35,36.02,13.16,4792.72,0.48,Aug,2085.1
Canada,2020,2828.79,41626.89,32.49,14.85,36.65,25.87,4623.7,0.32,Dec,2610.64
Canada,2020,1231.8,20057.49,56.06,22.96,51.89,23.86,3898.54,0.05,Feb,1215.1
Canada,2020,6433.5,43471.72,82.57,25.78,21.23,17.15,3454.53,0.37,Jan,6375.65
Canada,2020,5914.81,6776.34,84.1,54.78,31.31,39.14,592.72,0.07,Jul,5699.63
Canada,2020,9914.88,48212.5,43.32,62.6,52.21,34.52,4891.54,0.15,Jun,10018.66
Canada,2020,4574.88,1699.76,62.47,39.52,39.89,22.06,3324.81,0.43,Mar,4758.58
Canada,2020,4270.17,16788.53,18.59,50.43,33.68,26.23,1420.51,0.47,May,4436.0
Canada,2020,1854.64,42853.67,41.85,47.38,33.28,13.67,2698.48,0.47,Nov,1794.6
Canada,2020,9137.3,17669.66,55.9,27.23,22.69,36.64,1294.48,0.49,Oct,8378.77
Canada,2020,7112.75,36283.55,18.49,42.24,59.84,19.89,4398.15,0.12,Sep,7452.21
Canada,2021,5810.22,11692.54,26.04,12.02,27.04,31.07,360.95,0.5,Apr,5960.33
Canada,2021,7549.93,7446.65,46.73,61.2,46.67,33.65,1759.92,0.43,Aug,6936.12
Canada,2021,9898.26,14727.07,75.79,28.64,30.69,19.49,4437.15,0.31,Dec,10275.64
Canada,2021,5510.37,43044.92,84.0,47.32,59.61,21.93,3090.36,0.25,Feb,5678.35
Canada,2021,7629.27,40606.85,61.76,15.3,29.52,28.53,3668.76,0.27,Jan,7460.1
Canada,2021,272.15,14384.97,13.73,67.83,33.84,35.48,2410.28,0.23,Jul,269.07
Canada,2021,425.82,40822.03,27.35,51.49,54.47,30.1,499.94,0.19,Jun,408.72
Canada,2021,4936.29,41691.32,23.78,54.37,54.96,22.13,350.92,0.37,Mar,4483.21
Canada,2021,7055.23,12632.2,64.61,17.02,31.79,33.56,1012.94,0.33,May,6704.44
Canada,2021,3271.58,38822.83,19.87,17.76,53.0,26.12,511.98,0.19,Nov,3338.41
Canada,2021,8194.19,35278.28,50.19,58.71,45.21,20.5,1706.17,0.42,Oct,7380.46
Canada,2021,7815.43,12453.41,14.81,29.43,40.62,16.0,4961.29,0.16,Sep,7424.85
Canada,2022,2235.07,19069.92,26.77,17.24,55.64,33.54,1641.88,0.27,Apr,2145.05
Canada,2022,8400.98,32422.32,72.8,34.07,39.54,15.69,1025.0,0.15,Aug,8238.08
Canada,2022,782.43,3241.73,25.28,20.75,39.65,15.65,3590.8,0.38,Dec,812.15
Canada,2022,412.99,22241.86,74.31,20.42,35.17,35.66,2696.28,0.06,Feb,393.15
Canada,2022,8080.51,20801.83,17.02,12.51,23.76,18.42,955.47,0.48,Jan,7692.99
Canada,2022,3032.13,15910.47,39.5,54.69,30.06,31.19,4480.48,0.18,Jul,3064.35
Canada,2022,1635.43,36852.6,77.54,20.54,29.7,34.05,2392.6,0.11,Jun,1582.82
Canada,2022,832.49,47605.55,35.74,28.19,29.65,33.92,1580.94,0.23,Mar,777.29
Canada,2022,7420.17,1437.98,51.2,32.05,35.62,12.97,3215.9,0.06,May,7181.73
Canada,2022,3325.77,10685.64,82.06,73.65,46.31,21.36,4966.13,0.12,Nov,3063.46
Canada,2022,5102.82,7246.31,40.58,15.55,52.18,21.54,2859.04,0.12,Oct,4727.55
Canada,2022,5164.04,44421.15,23.63,31.68,55.64,28.86,2843.71,0.2,Sep,5033.67
Canada,2023,5119.77,35145.98,89.12,16.35,52.45,23.49,1195.89,0.16,Apr,4929.51
Canada,2023,5158.21,15484.38,33.78,67.05,50.45,11.34,56.53,0.39,Aug,5350.23
Canada,2023,477.5,28519.68,83.03,70.54,49.23,36.86,846.74,0.06,Dec,455.71
Canada,2023,1689.1,36433.16,61.97,44.78,47.64,21.08,3895.15,0.29,Feb,1667.29
Canada,2023,3067.01,48757.39,8.83,47.1,26.36,21.73,3326.67,0.48,Jan,3051.18
Canada,2023,7130.4,11374.54,81.35,58.27,59.25,37.96,3340.34,0.25,Jul,6431.37
Canada,2023,2553.97,1554.34,65.27,79.19,47.91,30.66,147.5,0.1,Jun,2552.77
Canada,2023,3549.04,4620.42,56.15,72.85,26.41,15.52,3437.84,0.27,Mar,3288.91
Canada,2023,4573.4,21695.98,22.9,15.93,47.18,23.62,4422.05,0.34,May,4775.36
Canada,2023,1399.5,36168.4,66.19,62.37,52.69,24.39,3835.99,0.23,Nov,1290.76
Canada,2023,7344.23,40236.88,14.88,22.21,49.23,24.17,1853.97,0.13,Oct,7066.57
Canada,2023,8970.39,23467.86,75.56,24.79,34.39,30.0,2358.27,0.4,Sep,8188.19
Canada,2024,4177.79,18400.21,62.32,70.04,44.21,17.88,4437.86,0.14,Apr,4384.72
Canada,2024,1868.45,25019.1,10.13,24.8,51.37,38.53,4456.21,0.43,Aug,1822.35
Canada,2024,1983.37,39801.04,32.28,25.62,40.02,13.84,3814.89,0.37,Dec,1962.16
Canada,2024,5516.4,4448.6,12.24,69.71,24.58,36.75,4204.56,0.07,Feb,5020.26
Canada,2024,6405.3,24986.91,74.26,24.46,40.45,17.06,4443.59,0.24,Jan,6485.33
Canada,2024,9532.38,41471.7,51.31,32.12,21.53,29.65,947.67,0.08,Jul,8879.28
Canada,2024,4851.57,19695.05,41.24,17.01,42.72,37.83,3446.45,0.09,Jun,5019.96
Canada,2024,9837.62,31028.02,23.94,12.52,49.71,16.59,807.28,0.24,Mar,9156.57
Canada,2024,4777.6,18954.27,15.05,67.3,32.64,27.58,3987.14,0.48,May,4436.49
Canada,2024,3875.22,27406.25,77.28,79.58,28.64,22.54,198.79,0.17,Nov,3508.94
Canada,2024,1325.23,3068.91,54.08,63.45,50.2,34.82,3690.39,0.18,Oct,1286.55
Canada,2024,5030.1,32193.81,34.0,64.4,46.28,38.42,3499.02,0.15,Sep,4953.27
China,2000,2496.2,32256.05,12.76,59.64,35.94,12.65,2121.57,0.3,Apr,2271.18
China,2000,3578.02,7369.76,21.61,29.88,26.6,28.92,3669.64,0.07,Aug,3636.45
China,2000,2887.2,47519.8,14.79,56.98,45.88,24.9,1795.31,0.22,Dec,2794.79
China,2000,5278.11,48716.37,29.59,76.04,21.1,19.24,846.87,0.29,Feb,5165.47
